,content,score
216,"This is a good app. Meanwhile, it was easy to learned on how this app is working.",5
217,mantap,5
218,Sangat mudah digunakan dan user friendly,5
219,"aplikasi investasi yang aman, mudah, cocok untuk pemula",5
220,greatt,5
221,easy to use,5
222,Best dah pokoknya,5
223,nice,5
224,"Pencairan reksadana melebihi 7 hari kerja bursa. Order jual 17 Agustus, order jual berhasil 19 Agustus, dana masuk ke rekening 1 September.",4
225,"Mantap jaya, thks",5
226,Nice finance investment app,5
227,Easy to use,5
228,gudd bangett...,5
229,oke,4
230,easy invest apps.,5
231,siip,5
232,good,5
233,friendly user,5
234,notif penjualan berhasil tapi dananya tidak masuk rekening,1
235,Biar uang beranak,5
236,"Sulit untuk masuk ke dalam aplikasi, sering stak di logo awal.",3
237,helpful and easy to use,5
238,Pemcairannya lamaa,3
239,"mantap, bikin deg2an tiap hari.",5
240,Good,5
241,Ini aplikasi terbaik bagi para pemula investasi dan menabung,5
242,good,5
243,good,5
244,good for beginner,5
245,app investasi yg bagus untuk pemula,5
246,Perbanyak lagi pilihan sekuritasnya,4
247,i cant open this apps sometimes..,5
248,"bagus dan terpercaya, mudah juga",5
249,okey,4
250,"Easy to use, help to plan my shorterm & longterm financial purpose. Hope will be unlimited portfolio.",5
251,Good app,5
252,Investasi sedari dini!!!,5
253,Good,5
254,PAKE KODE REF SAYA YA MAKASIH = bibitkelvin,5
255,outstanding apps for newbie,5
256,terpercaya,5
257,kerenn,5
258,great app to help start investment,5
259,"simple, mudah, dan terpercaya Bibit menawarkan reksadana pilihan yang telah terfilter dari sekian banyak reksadana yang lain sehingga produk yang ditawarkan berperforma baik dan berkualitas, untuk sekarang biaya pembelian masih gratis dan mudah sekali untuk bertransaksi atau membeli produk reksadana di bibit, recommended 👍",5
260,aplikasi yang cukup mudah untuk saya sebagai pemula,5
261,"Ketika jual kena biaya admin karna beda bank dengan bank penampung, app lain keknya gak gitu deh, skip rugi banyak, untung gak seberapa",1
262,so good aps for investing,5
263,"Min, tambahin metode payment via alfamart. Kalau via gopay bisa, masa via alfamart ga bisa.",1
264,Mantul,5
265,Pretty useful for small investment,5
266,"Pencairan dana lama, bahkan di FAQ ditulis bisa 7 hari kerja. Aplikasi sebelah jauh lebih cepat dan lebih lengkap",1
267,Aplikasinya gak bisa di buka,2
268,"Tolong tambah fitur nabung Emas, fitur dark mode, kuota promo ditambah atau diubah waktunya jgn tengah malam banget.",4
269,Maintenance when market crash 🚫🚫🚫,1
270,Good app.,5
271,buat nabung aja,5
272,Layanan CS nya sangat bagus,5
273,mantap investasi makin mudah...,5
274,"Bagus sih sebenarnya tapi lebih bagus lagi kalau stockbit dan bibit dijadikan 1 menjadi super app. Khan jadi gak ribet kalau buka aplikasinya.. mudah2an sih direalisasikan yah, soalnya baik stockbit ataupun bibit aplikasi paling simpel yang pernah ada..",5
275,Tengkiu bang,5
276,Sudah berhasil verifikasi email tapi aplikasi selalu mode debug,1
277,Aplikasi yang bagus banget untuk pemula. Apalagi pakai kode referal ( teacher ) bisa langsung dapet cashback senilai 25.000 bagi yang baru mendaftar.,5
278,no estimated info about how much I can get daily after everytime I invested my money,4
279,bikin darkmode min,2
280,gud,5
281,easy to use & very helpful to maintain your finance.,5
282,mudah akses aman dan terpecaya,5
283,"Menurutku aplikasikanya bagus, tetapi yang kurang mengenakan adalah saat penjualan & proses pencairan dana yang kita jual itu prosesnya lama. Mungkin perlu perbaikan disistem pencairannya agar yang membutuhkan dananya cepat cair. terima kasih.",2
284,Re,5
